Group by year	RD Group	Gene ID	Accession No	New locus tag	Publication date	Reference	Earliest Date	Name on tree Perez de Mora et al.	Note1	Note2	Spcies 	Organism/strain	Protein Name	Characteristics
2014	17	CG1_X792_07740	WP_046961458								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	13	CG1_X792_07755	WP_023652877								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	15	CG1_X792_07785	WP_041331600								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	57	CG1_X792_07200	AII58460.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	35	CG4_X793_RS00330	WP_041340852								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	48	CG4_X793_RS00775	WP_041341013								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	23	CG4_X793_RS00800	WP_010935983								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	47	CG4_X793_RS01050	WP_041341117								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	70	CG4_X793_RS01165	WP_041341161								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	20	CG4_X793_RS01200	WP_041341177								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	34	CG4_X793_RS06710	WP_041343194								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	10	CG4_X793_RS06795	WP_041343235.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	17	CG4_X793_RS06825	WP_041343254								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	71	CG4_X793_RS06840	WP_041343259								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	15	CG4_X793_RS06870	WP_041343271								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG4		
2014	35	CG5_X794_00350	WP_041344422								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	76	CG5_X794_00430	WP_041344437								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	23	CG5_X794_00760	WP_011308794								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	22	CG5_X794_00945	WP_034376796								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	29	CG5_X794_00970	WP_041344453								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	31	CG5_X794_04885	WP_015407127								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	17	CG5_X794_06395	WP_041344583								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	12	CG5_X794_06405	WP_015407263								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	37	CG5_X794_06560	WP_041344588								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	58	CG5_X794_06585	WP_011309906								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	59	CG5_X794_06595	WP_011309909								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	54	CG5_X794_06615	AOV99962								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	38	CG5_X794_06635	WP_011309917								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	14	CG5_X794_06685	WP_011309926								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	39	CG5_X794_06695	WP_011309929								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	33	CG5_X794_06740	WP_041344592								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	32	CG5_X794_06770	WP_011309940								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	19	CG5_X794_06785	WP_034376039								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	40	CG5_X794_06805	WP_011309945								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	30	CG5_X794_06830	WP_011309950								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	34	CG5_X794_06865	WP_034375905								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	11	CG5_X794_06880	WP_015408006								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	10	CG5_X794_06965	WP_034375937.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	17	CG5_X794_06995	WP_041344597								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	15	CG5_X794_07045	WP_034376989								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
2014	13	CG5_X794_07010	WP_015408026.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG5		
1998_1	6	CR1_tceA	BAF57046.1		1-Apr-07	NCBI direct submission					Desulfitobacterium sp.	Desulfitobacterium sp. CR1		
1998_1	6	D329-MS	WP_015043730.1		1-Sep-09	Grostern, EST					Dehalobacter MS (MS_rdhA2)	Dehalobacter MS	MS_rdhA2	
1998_1	6	D334-WLm	ACH87597.1		1-May-09	Grostern, AEM					Dehalobacter WL (WL_rdhA3)	Dehalobacter WL	WL_rdhA3	
2004_8	15	D335-WL	WP_010937220		1-Jun-09	Grostern, U of T					Dehalococcoides mccartyi	Dehalococcoides mccartyi WL		
2005_6	34	D337-WL	WP_058291925		4-Jul-05	LAH					Dehalococcoides mccartyi	Dehalococcoides mccartyi WL		
2004_1	8	D338-WL	AEI59454.1		1-Jun-09	Grostern, U of T					Dehalococcoides mccartyi	Dehalococcoides mccartyi WL		
2000_6	5	D339-WL	WP_077974936		1-Jun-09	Grostern, U of T					Dehalococcoides mccartyi	Dehalococcoides mccartyi WL		
2005_3	31	dcmb_1041	WP_015407127	DCMB_RS05155	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014_5	48	dcmb_120	WP_015406771	DCMB_RS00600	Jun-13	Poritz FEMS Microbiol lett	Jun-13				Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_5	12	dcmb_1341	WP_015407263	DCMB_RS06630	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014_5	49	dcmb_1366	WP_015407273	DCMB_RS06755	Jun-13	Poritz FEMS Microbiol lett	Jun-13				Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014-5	50	dcmb_1370	WP_059279995	DCMB_RS07580	Jun-13	Poritz FEMS Microbiol lett	Jun-13				Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2005_8	36	dcmb_1376	WP_011309863	DCMB_RS06810	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_8	14	dcmb_1383	WP_011309926	DCMB_RS06845	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2005_11	39	dcmb_1385	WP_011309929	DCMB_RS06855	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014	72	dcmb_1428	WP_015407319	DCMB_RS07060	30-Jan-14	Poritz et al. FEMS Microbiol. Lett. 2013 Jun; 343(2):101-4					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014	77	dcmb_1430	AGG07019	DCMB_RS07070	30-Jan-14	Poritz et al. FEMS Microbiol. Lett. 2013 Jun; 343(2):101-4					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014-5	51	dcmb_1434	WP_015407325	DCMB_RS07090	Jun-13	Poritz FEMS Microbiol lett	Jun-13				Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014	73	dcmb_1436	WP_015407327	DCMB_RS07100	30-Jan-14	Poritz et al. FEMS Microbiol. Lett. 2013 Jun; 343(2):101-4					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_6	13	dcmb_1438	WP_011309985	DCMB_RS07110	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_8	15	dcmb_1444	WP_011309991	DCMB_RS07140	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_16	23	dcmb_184	WP_011928681	DCMB_RS00915	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_15	22	dcmb_235	WP_011308832	DCMB_RS01170	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2005_1	29	dcmb_240	WP_015406828	DCMB_RS01195	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014_11	53	dcmb_86	WP_015406743	DCMB_RS00415	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_13	20	dcmb_91	WP_011308708	DCMB_RS00440	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2004_10	17	dcmb_1339	WP_015407262.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2014_11	52	dcmb_81	WP_015406739.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi DCMB5		
2018_8	23	DEHALATV1_RS00820	WP_010935983		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2018_8	5	DEHALATV1_RS04685	WP_015407437		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2018_8	8	DEHALATV1_RS06570	WP_061977500.1		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2018_8	81	DEHALATV1_RS06700	WP_081042194		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2018_8	38	DEHALATV1_RS06905	WP_096477008		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2018_8	75	DEHALATV1_RS06925	WP_010937203		27-Sep-17	Yohda et al. 2017 Sci Rep 7(1),2230					Dehalococcoides mccartyi	Dehalococcoides mccartyi UCH-ATV1		
2014_5	48	DET0173	WP_010935976.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2000_6	5	DET0079_tceA	WP_010935886						trichloroethene reductase TceA		Dehalococcoides mccartyi	Dehalococcoides mccartyi 195	tceA	
2004_16	23	DET0180	WP_010935983	DET_RS01045	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_1	29	DET0235	WP_010936038	DET_RS01335	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2004_15	22	DET0302	WP_010936083	DET_RS01745	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005	70	DET0306	WP_010936087	DET_RS01765	1-Jan-05	Seshardi, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2004_13	20	DET0311	WP_010936092	DET_RS01785	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_2	30	DET0318	WP_010936099	DET_RS01820	1-Jan-05	Sheshadri, Nature			perchloroethene reductase PceA		Dehalococcoides mccartyi	Dehalococcoides mccartyi 195	pceA	
2005_3	31	DET1171	WP_010936862	DET_RS06050	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_4	32	DET1519	WP_010937194	DET_RS07790	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_5	33	DET1522	WP_010937197	DET_RS07805	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005	75	DET1528	WP_010937203	DET_RS07835	1-Jan-05	Seshardi, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_6	34	DET1535	WP_010937210	DET_RS07865	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005	71	DET1538	WP_010937213	DET_RS07880	1-Jan-05	Seshardi, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2004_8	15	DET1545	WP_010937220	DET_RS07915	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2005_7	35	DET1559	WP_010937232	DET_RS07990	1-Jan-05	Sheshadri, Nature					Dehalococcoides mccartyi	Dehalococcoides mccartyi 195		
2012_1	45	Dhaf_0693	AAL87752		1-Feb-12	Kim, BMC Microbio	1-Feb-12				Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
2004_2	9	Dhaf_0696	WP_015942955.1		1-Feb-12	Kim, BMC Microbio	1-Aug-04				Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
2000_5	4	Dhaf_0713	WP_015942972		1-Feb-12	Kim, BMC Microbio	1-Nov-00				Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
2000_1	2	Dhaf_0737	WP_015942994		1-Dec-08	NCBI direct submission					Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
1998_1	6	Dhaf_pceA	WP_011460641.1		1-Mar-06	Nonaka, J Bacteriol					Desulfitobacterium hafniense	Desulfitobacterium hafniense Y51		
2016	72	Dm11a5_1395	WP_015407319	Dm11a5_RS06855	5-Apr-16	Zhao FEMS Microbiol Ecol. 2016 Nov 16. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2016	77	Dm11a5_1397	AGG07019	Dm11a5_RS06865	5-Apr-16	Zhao FEMS Microbiol Ecol. 2016 Nov 16. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2016	73	Dm11a5_1404	WP_015407327	Dm11a5_RS06895	5-Apr-16	Zhao FEMS Microbiol Ecol. 2016 Nov 16. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	23	Dm11a5_0188	WP_011308794.1	Dm11a5_RS00925	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	22	Dm11a5_0227	WP_034376796.1	Dm11a5_RS01110	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	29	Dm11a5_0232	WP_034376790.1	Dm11a5_RS01135	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	21	Dm11a5_0255	WP_023651882.1	Dm11a5_RS01240	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	20	Dm11a5_0263	WP_023651890.1	Dm11a5_RS01280	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	17	Dm11a5_1306	WP_062900260.1	Dm11a5_RS06420	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	12	Dm11a5_1308	WP_015407263.1	Dm11a5_RS06430	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	5	Dm11a5_1352	WP_062900263.1	Dm11a5_RS06655	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	16	Dm11a5_1355	WP_062900265.1	Dm11a5_RS06670	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	51	Dm11a5_1395	WP_015407319.1		5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	18	Dm11a5_1419	WP_034376170.1	Dm11a5_RS06980	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	54	Dm11a5_1424	WP_034376069.1	Dm11a5_RS07005	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	38	Dm11a5_1428	WP_011309917.1	Dm11a5_RS07025	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	14	Dm11a5_1437	WP_011309926.1	Dm11a5_RS07070	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	39	Dm11a5_1439	WP_011309929.1	Dm11a5_RS07080	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	32	Dm11a5_1453	WP_011309940.1	Dm11a5_RS07155	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	19	Dm11a5_1456	WP_034376039.1	Dm11a5_RS07170	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	40	Dm11a5_1460	WP_034375893.1	Dm11a5_RS07190	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	34	Dm11a5_1473	WP_034375905.1	Dm11a5_RS07245	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	11	Dm11a5_1477	WP_011309959.1	Dm11a5_RS07260	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	10	Dm11a5_1497	WP_034375937.1	Dm11a5_RS07345	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	17	Dm11a5_1503	WP_041344597.1	Dm11a5_RS07375	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	13	Dm11a5_1506	WP_015408026.1	Dm11a5_RS07390	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2018_8	15	Dm11a5_1515	WP_034376989.1	Dm11a5_RS07420	5-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi 11a5		
2005_6	34	DQ115513	WP_034375905		1-Dec-05	ASW, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2005_4	32	DQ115514	AAZ91692		1-Dec-05	ASW, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2008_1	41	Glov_2870	WP_012470907		1-May-08	NCBI direct submission	1-May-08				Geobacter lovleyi	Geobacter lovleyi SZ		
2008_1	41	Glov_2872	WP_012470909		1-May-08	NCBI direct submission					Geobacter lovleyi	Geobacter lovleyi SZ		
2005_7	35	GT_0124	WP_012984061	DEHALGT_RS00610	1-Feb-10	NCBI direct submission	1-Jan-05				Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_16	23	GT_0241	WP_011928681	DEHALGT_RS01195	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_10	17	GT_1189	WP_011309827	DEHALGT_RS06060	1-Feb-10	NCBI direct submission			17_I subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_5	12	GT_1191	WP_011309829	DEHALGT_RS06070	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_1	8	GT_1237	WP_012984515.1	DEHALGT_RS06295	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_9	37	GT_1269	WP_011309901	DEHALGT_RS06440	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_10	38	GT_1276	WP_011309917	DEHALGT_RS06470	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_7	14	GT_1285	WP_011309926	DEHALGT_RS06515	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_11	39	GT_1287	WP_011309929	DEHALGT_RS06525	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_5	33	GT_1295	WP_011309936	DEHALGT_RS06565	1-Feb-10	NCBI direct submission	1-Jan-05				Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_4	32	GT_1300	WP_011309940	DEHALGT_RS06590	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_12	19	GT_1303	WP_011309943	DEHALGT_RS06605	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_12	40	GT_1307	WP_011309945	DEHALGT_RS06625	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_2	30	GT_1312	WP_011309950	DEHALGT_RS06650	1-Feb-10	NCBI direct submission	 				Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_6	34	GT_1318	WP_012984539	DEHALGT_RS06680	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_4	11	GT_1321	WP_015408006	DEHALGT_RS06695	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_3	10	GT_1338	WP_011309976.1	DEHALGT_RS06780	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_10	17	GT_1344	WP_012984545	DEHALGT_RS06810	1-Feb-10	NCBI direct submission			17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_6	13	GT_1347	WP_011309985	DEHALGT_RS06825	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2004_8	15	GT_1353	WP_011309991	DEHALGT_RS06855	1-Feb-10	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GT		
2005_1	29	GY50_0087	WP_023651751	GY50_RS00395	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_14	21	GY50_0094	WP_023651758	GY50_RS00430	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014_11	56	GY50_0119	WP_023651783	GY50_RS00550	11-Aug-13	Ding et al. unpublished					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_16	23	GY50_0194	WP_023651845	GY50_RS00915	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_14	21	GY50_0236	WP_023651882	GY50_RS01100	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_13	20	GY50_0244	WP_023651890	GY50_RS01140	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014_11	57	GY50_0906	WP_023652427	GY50_RS04390	11-Aug-13	Ding et al. unpublished	11-Aug-13				Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_5	12	GY50_1310	WP_023652767	GY50_RS06335	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014	67	GY50_1350	WP_023652806	GY50_RS06530	11-Feb-14	Ding et al. Environ Microbiol. 2017 Jul;19(7):2906-2915.					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_15	22	GY50_1386	WP_012882589	GY50_RS06690	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014	31	GY50_1393	WP_012882596	GY50_RS06725	11-Feb-14	Ding et al. Environ Microbiol. 2017 Jul;19(7):2906-2915.					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014_11	55	GY50_1397	WP_023652842	GY50_RS06745	11-Aug-13	Ding et al. unpublished					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014_11	57	GY50_1405	WP_023652849	GY50_RS06785	11-Aug-13	Ding et al. unpublished					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2005_12	40	GY50_1411	WP_023652855	GY50_RS06815	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2014	30	GY50_1417	WP_023652859	GY50_RS06840	11-Feb-14	Ding et al. Environ Microbiol. 2017 Jul;19(7):2906-2915.					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_3	10	GY50_1427	WP_023652869	GY50_RS06890	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_10	17	GY50_1433	WP_023652875	GY50_RS06920	13-Aug-15	NCBI direct submission			17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_6	13	GY50_1436	WP_023652877	GY50_RS06935	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2004_8	15	GY50_1443	WP_023652882	GY50_RS06965	13-Aug-15	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2018_8	80	GY50_RS06540	WP_023652808.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi GY50		
2016	48	IBK_0161	WP_061977011	IBK_RS00790	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	23	IBK_0226	WP_011928681	IBK_RS01115	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	22	IBK_0275	WP_059280032	IBK_RS01370	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	31	IBK_0998	WP_015407127	IBK_RS04950	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	12	IBK_1313	WP_015407263	IBK_RS06500	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	50	IBK_1368	WP_059279995	IBK_RS06765	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	36	IBK_1374	WP_011309863	IBK_RS06795	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	14	IBK_1381	WP_011309926	IBK_RS06830	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	39	IBK_1383	WP_011309929	IBK_RS06840	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	72	IBK_1409	WP_059279991	IBK_RS06975	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	73	IBK_1418	WP_015407327	IBK_RS07015	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
